specialty_name,doctor_count,bucket,parent_bucket,pediatric_capable,routable,flag
Pediatric Orthopedic,4,orthopedics,general_medicine,true,true,
Conservative Dentistry,4,dentistry_general,,false,true,
Pediatric Hematology,4,oncology,general_medicine,true,false,
Cardiac Surgery,4,cardiology,general_medicine,false,true,CASE_DUP
Pediatric BMT,4,oncology,general_medicine,true,false,
Cardio-Thoracic Surgery,3,cardiology,general_medicine,false,true,
General Physician,3,general_medicine,,false,true,
Thoracic Surgery,3,pulmonology,general_medicine,false,true,REVIEW_vs_cardiology
Gynaecology,3,obgyn,general_medicine,false,true,SPELLING_DUP
Obstetrics,3,obgyn,general_medicine,false,true,
Podiatry,3,orthopedics,general_medicine,false,true,REVIEW_own_bucket
Pediatric Surgery,3,general_surgery,general_medicine,true,true,
Hijama,3,alternative_medicine,,false,false,
Restorative Dentistry,3,dentistry_general,,false,true,
Interventional Radiology,3,not_routable,,false,false,
Pediatric Allergy,3,allergy_immunology,general_medicine,true,true,
Speciality 11,3,unknown,,false,false,DATA_QUALITY
Cosmetic Dentistry,3,dentistry_general,,false,true,REVIEW_vs_plastic_aesthetic
Cosmetic Surgery,2,plastic_aesthetic,dermatology,false,true,
Clinical Genetics,2,not_routable,,false,false,
Clinical Hematology,2,oncology,general_medicine,false,false,
Counseling,2,psychiatry,general_medicine,false,true,
Geriatrics,2,general_medicine,,false,true,
Immunology,2,allergy_immunology,general_medicine,false,true,
Infectious Diseases,2,general_medicine,,false,true,REVIEW_own_bucket
Laser Dentistry,2,dentistry_general,,false,true,
Maxillofacial Surgery,2,dentistry_general,,false,true,
Neuro And Spine Surgery,2,neurology,general_medicine,false,true,
Oncology Orthopedic Surgery,2,oncology,general_medicine,false,false,
Oncology Surgery,2,oncology,general_medicine,false,false,
Oral Medicine,2,dentistry_general,,false,true,
Pediatric Critical Care Medicine,2,not_routable,,true,false,
Pediatric ENT,2,ent,general_medicine,true,true,
Pediatric Gastroenterology,2,gastroenterology,general_medicine,true,true,
Pediatric General Surgeon,2,general_surgery,general_medicine,true,true,
Pediatric Hematology - Oncology,2,oncology,general_medicine,true,false,ENDASH_IN_SOURCE
Pediatric Immunology and Allergy,2,allergy_immunology,general_medicine,true,true,
Pediatric Intensive Care Medicine,2,not_routable,,true,false,
Pediatric Nephrology,2,nephrology,general_medicine,true,true,
Pediatric Pulmonology,2,pulmonology,general_medicine,true,true,
Radiation Oncology,2,oncology,general_medicine,false,false,
Respiratory Medicine,2,pulmonology,general_medicine,false,true,
Sports Medicine,2,orthopedics,general_medicine,false,true,REVIEW_vs_physiotherapy
Pediatric Inherited Metabolic Medicine,1,not_routable,,true,false,
Clinical Pathology,1,not_routable,,false,false,
Pediatric Medical genetics,1,not_routable,,true,false,
Chest Medicine,1,pulmonology,general_medicine,false,true,
Pediatric Neurodisability,1,neurology,general_medicine,true,true,
Pediatric Dermatology,1,dermatology,general_medicine,true,true,
Palliative Medicine,1,not_routable,,false,false,
Pediatric Oncology Surgery,1,oncology,general_medicine,true,false,
Pediatric Ophthalmology,1,ophthalmology,general_medicine,true,true,
Oral Surgery,1,dentistry_general,,false,true,
Pediatric Otolaryngology,1,ent,general_medicine,true,true,
Pediatric Palliative Medicine,1,not_routable,,true,false,
Pediatric Periodontics,1,periodontics,dentistry_general,true,true,
Pediatric Psychiatry,1,psychiatry,general_medicine,true,true,
Pediatric Public Health Medicine,1,not_routable,,true,false,
Unani Medicine,1,alternative_medicine,,false,false,
Pediatric Radiation Oncology,1,oncology,general_medicine,true,false,
Pediatric Rehabilitation Medicine,1,physiotherapy,orthopedics,true,true,
Pediatric Respiratory medicine,1,pulmonology,general_medicine,true,true,
Pediatric Restorative Dentistry,1,dentistry_general,,true,true,
Pediatric Rheumatology,1,rheumatology,general_medicine,true,true,
Pediatric Sleep Medicine,1,pulmonology,general_medicine,true,true,
Pediatric Sports Medicine,1,orthopedics,general_medicine,true,true,
Occupational Medicine,1,not_routable,,false,false,
Pediatric Surgical Oncology,1,oncology,general_medicine,true,false,
Pediatric Thoracic Surgery,1,pulmonology,general_medicine,true,true,
Pediatric Urology,1,urology,general_medicine,true,true,
Pediatric Vascular Surgery,1,cardiology,general_medicine,true,true,
Metabolic Medicine,1,endocrinology,general_medicine,false,true,
Medical genetics,1,not_routable,,false,false,
Maternal Medicine,1,obgyn,general_medicine,false,true,
Plastic Surgeon,1,plastic_aesthetic,dermatology,false,true,
Gp Dentist,1,dentistry_general,,false,true,
Podiatrists,1,orthopedics,general_medicine,false,true,SPELLING_DUP
Genito-Urinary Medicine,1,urology,general_medicine,false,true,REVIEW_vs_infectious_disease
General and Laparoscopic Surgeon,1,general_surgery,general_medicine,false,true,
Gastrosurgery,1,general_surgery,general_medicine,false,true,
Public Health Medicine,1,not_routable,,false,false,
Gastro intestinal Surgery,1,general_surgery,general_medicine,false,true,
Audiology,1,ent,general_medicine,false,true,
Fetal Medicine,1,obgyn,general_medicine,false,true,
Reproductive Health,1,obgyn,general_medicine,false,true,
Respiratory medicine,1,pulmonology,general_medicine,false,true,CASE_DUP
Urosurgery,1,urology,general_medicine,false,true,
Electrophysiology,1,cardiology,general_medicine,false,true,
Diabetic foot problems.,1,orthopedics,general_medicine,false,true,REVIEW_vs_endocrinology
Sleep Medicine,1,pulmonology,general_medicine,false,true,REVIEW_vs_neurology
Specialist Internal Medicine,1,general_medicine,,false,true,
Pediatric Emergency Medicine,1,emergency,,true,false,
Pediatric Endocrinology,1,endocrinology,general_medicine,true,true,
Specialist Obstetrics & Gynaecology,1,obgyn,general_medicine,false,true,
Specialist Orthodontist,1,orthodontics,dentistry_general,false,true,
Acupuncture Practitioner,1,alternative_medicine,,false,false,
Pediatric Electrophysiology,1,cardiology,general_medicine,true,true,
Aesthetic Specialist,1,plastic_aesthetic,dermatology,false,true,
Pediatric Hepatology,1,gastroenterology,general_medicine,true,true,
Pediatric Immunology,1,allergy_immunology,general_medicine,true,true,
Community Medicine,1,not_routable,,false,false,
Pediatric Infectious Disease,1,general_medicine,,true,true,REVIEW_own_bucket
